order_key,date,account,symbol,side,qty,notional,price_ref,reason,prev_weight,target_weight,delta_weight,notes
9fb63460cc5f120f,2025-12-30,cash,4063.T,sell,46,227875.84210579057,close,rebalance,0.052044670667680405,0.04447074340538129,-0.007573927262299114,
1c16c96cc40c18b1,2025-12-30,cash,6098.T,sell,456,4034258.620301501,close,rebalance,0.13408697062886382,0.0,-0.13408697062886382,exit
a4b7a036715f7a18,2025-12-30,cash,6501.T,sell,192,941968.7710253806,close,rebalance,0.03408238551169284,0.002774095483338714,-0.03130829002835413,
5d27e1b165ab2131,2025-12-30,cash,6758.T,sell,800,3222336.7033569408,close,rebalance,0.10710105810396481,0.0,-0.10710105810396481,exit
cc23af7042f30235,2025-12-30,cash,6861.T,sell,32,1815485.1174641068,close,rebalance,0.06034142144420976,0.0,-0.06034142144420976,exit
81fe8345a721e049,2025-12-30,cash,8035.T,buy,59,2052550.9934774758,close,rebalance,0.20147919834981728,0.2696999969351323,0.06822079858531502,
2a070c005c441c03,2025-12-30,cash,8058.T,buy,128,460044.79534630757,close,rebalance,0.0,0.015290544996580288,0.015290544996580288,enter
8ff2cb41357ac75c,2025-12-30,cash,8316.T,sell,421,2125410.33423855,close,rebalance,0.07064243021683854,0.0,-0.07064243021683854,exit
0ed1b78335da09a3,2025-12-30,cash,8411.T,sell,461,2632664.6115077324,close,rebalance,0.18780643617816678,0.10030435570606643,-0.08750208047210035,
6d031f91be4cd0ad,2025-12-30,cash,9432.T,buy,35621,5617574.784525089,close,rebalance,0.0868602705925794,0.2735720449313717,0.18671177433879232,
a8113c2cecd92471,2025-12-30,cash,9501.T,buy,2713,1783858.1429629382,close,rebalance,0.0,0.05929023320861244,0.05929023320861244,enter
65d4d30c74f31af3,2025-12-30,cash,9983.T,buy,88,5013111.942927115,close,rebalance,0.004343453539508949,0.1709646489353158,0.16662119539580683,
56cadb72cce6965f,2025-12-30,cash,9984.T,buy,16,72859.34076107183,close,rebalance,0.061211704766677644,0.06363333639820108,0.002421631631523438,
